gene	common
SL2202	
SL4274	ecnR
SL0858	ybjO
SL2665	
SL2890	
SL4522	
SL1495	rpsV
SL1911	rcsA
STnc1420	
SL4075	udhA
SL1478	
SL3184	dnaG
SL1930	
SL1916	
SL0320	dhaF
SL2672	
SL3171	
SL3232	gatB
SL3596	dppA
SL1245	nadE
SL2357	fadJ
SL2249	
SL0657	ybeY
STnc540	
SL3233	gatC
SL2495	
SL4333	ytfF
SL0260	sciA
SL1783	
SL4263	aspA
SL3571	yhjB
SL0189	ligT
IsrK	
SL3013	
SL4345	
SL2135	yehS
SL2444	acrD
SL3956	
SL1213	yeaO
SL3053	yggG
SL4161	yjbH
STnc4040	
SL1626	sapF
SL2093	wzc
SL4370	
SL0658	phoL
SL1531	ugtL
SL2798	emrR
SL0536	fimA
SL3718	sugR
SL0711	abrB
SL2808	oraA
SL0737	aroG
SL1877	sirA
SL0034	
SL1244	
SL1572	acpD
SL2998	
SL0076	fixA
SL0099	
SL0733	nadA
SL0920	rec2
SL1599	
SL1967	
SL2207	
SL2209	
SL2976	comP
SL3090	yqgA
SL4261	cutA
SL4521	sthA
SL0442	clpP
SL1611	ycjG
SL3553	yhiN
SL0950	
SL1201	
SL1802	
SL1861	yecG
SL1298	ydiK
SL2235	ada
SL4258	
SL0095	djlA
SL3035	ygfB
SL2602	rseB
SL4468	
SL1346	ssaL
SL0284	vgrS
SL3810	thdF
SL1518	yncD
SL1022	
SL2675	
SL0502	
SL2245	ubiG
SraC	
SL0957	
SL0843	
SL0955	
SL2148	yohD
SL1420	clcB
SL0775	uvrB
STnc3000	
SL1364	ydhO
SL3379	zntR
SL3376	sapG
SL2418	eutK
SL2013	pduF
SL4499	stjB
SL0361	yahO
STnc1390	
SL4227	proP
SL3167	
SL4394	
SL1383	gst
SL3027	bglA
SL2323	hisJ
SL1773	htpX
STnc770	
SL4238	dcuB
SL3211	yhaO
SL4487	yjjG
SL2929	
SL2419	eutL
STnc2070	
SL0021	bcfA
SL1546	
SL0156	
SL2079	wzx
SL2576	
SL2678	gpJ
SL1620	pspA
SL0856	potH
SL3340	tldD
SL1423	
SL2646	rpl19
SL0968	
SL3273	obgE
SL2250	
SL0336	
SL2200	yejH
SL2806	csrA
SL0956	
SL1554	
SL1297	ydiL
SL3570	
SL3537	rsmD
SL3201	yqjC
SL0917	cmk
SL3664	
SL1815	yebF
SL3014	
SL1745	rnd
SL1839	yecN
SL1186	
SL0114	leuL
SL0946	recEa
SL1338	sseF
SL4451	
SL4264	fxsA
SL3000	
SL3965	yihQ
SL1752	yoaH
SL0617	cspE
SL3854	yieO
SL4057	yijF
SL0006	yaaJ
SL0831	
SL1190	
SL1411	tqsA
SL0747	
SL2797	
SL4310	aidB
SL3716	yicJ
SL2482	yfgL
SL3007	stdB
SL0061	citE2
SL1893	yedD
SL3566	
SL4270	yjeK
SL0450	ybaE
SL0385	aroM
STnc1130	
SL4202	soxR
SL3001	yohL
SL0740	
SL0248	abc
SL1816	yebG
SL0713	
SL0748	
SL0341	
STnc840	
SL2985	ygdR
SL2705	
SL0415	yajO
SL0776	slrP
SL2416	
SL4495	deoA
SL4224	phnO
SL1511	narV
SL1733	fadR
SL2695	
SL4241	dcuS
SL1229	ansA
SL4367	yjgA
SL0236	yaeR
SL1351	ssaP
SL2816	gutM
SL3374	fmt
SL3817	yieF
SL1437	ydfJ
SL1684	hnr
SL0288	sciX
SL3944	rodA
SL1066	
SL2962	gcvA
SL3777	yidQ
SL2222	narP
SL1048	
SL0661	
SL4319	sgaH
SL4060	ptsA
SL2192	rtn
SL1039	hpaR
SL4023	ego
OmrB	
